benchmark,transport,scenario,sample,value_ns
burst_recovery,TCP,burst_loss,1,244347768
burst_recovery,TCP,burst_loss,2,434077212
burst_recovery,TCP,burst_loss,3,10265108
burst_recovery,TCP,burst_loss,4,249631755
burst_recovery,TCP,burst_loss,5,20007221
burst_recovery,TCP,burst_loss,6,19992104
burst_recovery,TCP,burst_loss,7,53878235
burst_recovery,TCP,burst_loss,8,10223397
burst_recovery,TCP,burst_loss,9,10256493
burst_recovery,TCP,burst_loss,10,20049225
burst_recovery,TCP,burst_loss,11,10202918
burst_recovery,TCP,burst_loss,12,30450691
burst_recovery,TCP,burst_loss,13,10234656
burst_recovery,TCP,burst_loss,14,20036559
burst_recovery,TCP,burst_loss,15,82560384
burst_recovery,TCP,burst_loss,16,20119161
burst_recovery,TCP,burst_loss,17,20161965
burst_recovery,TCP,burst_loss,18,10106258
burst_recovery,TCP,burst_loss,19,20226479
burst_recovery,TCP,burst_loss,20,10175119
burst_recovery,TCP,burst_loss,21,726166422
burst_recovery,TCP,burst_loss,22,925092889
burst_recovery,TCP,burst_loss,23,19963395
burst_recovery,TCP,burst_loss,24,10258059
burst_recovery,TCP,burst_loss,25,10182047
burst_recovery,TCP,burst_loss,26,20112550
burst_recovery,TCP,burst_loss,27,10251101
burst_recovery,TCP,burst_loss,28,20024299
burst_recovery,TCP,burst_loss,29,10175652
burst_recovery,TCP,burst_loss,30,10250033
burst_recovery,TCP,burst_loss,31,10396049
burst_recovery,TCP,burst_loss,32,257227537
burst_recovery,TCP,burst_loss,33,10470276
burst_recovery,TCP,burst_loss,34,43341007
burst_recovery,TCP,burst_loss,35,19999876
burst_recovery,TCP,burst_loss,36,20173057
burst_recovery,TCP,burst_loss,37,10294614
burst_recovery,TCP,burst_loss,38,20193218
burst_recovery,TCP,burst_loss,39,10231617
burst_recovery,TCP,burst_loss,40,20195760
burst_recovery,TCP,burst_loss,41,10285666
burst_recovery,TCP,burst_loss,42,20348117
burst_recovery,TCP,burst_loss,43,10589938
burst_recovery,TCP,burst_loss,44,475687947
burst_recovery,TCP,burst_loss,45,248092019
burst_recovery,TCP,burst_loss,46,20195849
burst_recovery,TCP,burst_loss,47,20236714
burst_recovery,TCP,burst_loss,48,255442050
burst_recovery,TCP,burst_loss,49,256170135
burst_recovery,TCP,burst_loss,50,20106018
burst_recovery,QUIC,burst_loss,1,10532484
burst_recovery,QUIC,burst_loss,2,10373586
burst_recovery,QUIC,burst_loss,3,10461163
burst_recovery,QUIC,burst_loss,4,10490313
burst_recovery,QUIC,burst_loss,5,10348914
burst_recovery,QUIC,burst_loss,6,10414806
burst_recovery,QUIC,burst_loss,7,10271945
burst_recovery,QUIC,burst_loss,8,87859602
burst_recovery,QUIC,burst_loss,9,10110531
burst_recovery,QUIC,burst_loss,10,10304743
burst_recovery,QUIC,burst_loss,11,90488979
burst_recovery,QUIC,burst_loss,12,250288936
burst_recovery,QUIC,burst_loss,13,10502925
burst_recovery,QUIC,burst_loss,14,10376470
burst_recovery,QUIC,burst_loss,15,10239948
burst_recovery,QUIC,burst_loss,16,10485645
burst_recovery,QUIC,burst_loss,17,10369249
burst_recovery,QUIC,burst_loss,18,10488917
burst_recovery,QUIC,burst_loss,19,10227041
burst_recovery,QUIC,burst_loss,20,10179670
burst_recovery,QUIC,burst_loss,21,82301304
burst_recovery,QUIC,burst_loss,22,10408050
burst_recovery,QUIC,burst_loss,23,80297599
burst_recovery,QUIC,burst_loss,24,10147233
burst_recovery,QUIC,burst_loss,25,10187121
burst_recovery,QUIC,burst_loss,26,10257570
burst_recovery,QUIC,burst_loss,27,10329645
burst_recovery,QUIC,burst_loss,28,10380400
burst_recovery,QUIC,burst_loss,29,10478912
burst_recovery,QUIC,burst_loss,30,10467608
burst_recovery,QUIC,burst_loss,31,10308788
burst_recovery,QUIC,burst_loss,32,10422031
burst_recovery,QUIC,burst_loss,33,10380662
burst_recovery,QUIC,burst_loss,34,10223353
burst_recovery,QUIC,burst_loss,35,10132385
burst_recovery,QUIC,burst_loss,36,10391715
burst_recovery,QUIC,burst_loss,37,10318622
burst_recovery,QUIC,burst_loss,38,10281667
burst_recovery,QUIC,burst_loss,39,86852522
burst_recovery,QUIC,burst_loss,40,10176630
burst_recovery,QUIC,burst_loss,41,10090176
burst_recovery,QUIC,burst_loss,42,10108769
burst_recovery,QUIC,burst_loss,43,10074635
burst_recovery,QUIC,burst_loss,44,10109942
burst_recovery,QUIC,burst_loss,45,10267733
burst_recovery,QUIC,burst_loss,46,61422622
burst_recovery,QUIC,burst_loss,47,10284699
burst_recovery,QUIC,burst_loss,48,61430607
burst_recovery,QUIC,burst_loss,49,10409255
burst_recovery,QUIC,burst_loss,50,10424843
