benchmark,transport,scenario,nodes,sample,value_ns
consensus_with_setup,TCP,localhost,4,1,13908681
consensus_with_setup,TCP,localhost,4,2,4119517
consensus_with_setup,TCP,localhost,4,3,3098490
consensus_with_setup,TCP,localhost,4,4,2637525
consensus_with_setup,TCP,localhost,4,5,2987782
consensus_with_setup,TCP,localhost,4,6,2449149
consensus_with_setup,TCP,localhost,4,7,3240332
consensus_with_setup,TCP,localhost,4,8,1991523
consensus_with_setup,TCP,localhost,4,9,2124567
consensus_with_setup,TCP,localhost,4,10,2376991
consensus_with_setup,TCP,localhost,4,11,2251215
consensus_with_setup,TCP,localhost,4,12,2496485
consensus_with_setup,TCP,localhost,4,13,2341655
consensus_with_setup,TCP,localhost,4,14,5132233
consensus_with_setup,TCP,localhost,4,15,3125845
consensus_with_setup,TCP,localhost,4,16,2502974
consensus_with_setup,TCP,localhost,4,17,2153133
consensus_with_setup,TCP,localhost,4,18,3326527
consensus_with_setup,TCP,localhost,4,19,2613962
consensus_with_setup,TCP,localhost,4,20,2953812
consensus_with_setup,TCP,localhost,4,21,2271150
consensus_with_setup,TCP,localhost,4,22,3370524
consensus_with_setup,TCP,localhost,4,23,2278830
consensus_with_setup,TCP,localhost,4,24,2333009
consensus_with_setup,TCP,localhost,4,25,2554396
consensus_with_setup,TCP,localhost,4,26,2889997
consensus_with_setup,TCP,localhost,4,27,5478322
consensus_with_setup,TCP,localhost,4,28,2150897
consensus_with_setup,TCP,localhost,4,29,3062987
consensus_with_setup,TCP,localhost,4,30,1849847
consensus_with_setup,QUIC,localhost,4,1,36200673
consensus_with_setup,QUIC,localhost,4,2,33045838
consensus_with_setup,QUIC,localhost,4,3,26119834
consensus_with_setup,QUIC,localhost,4,4,27797075
consensus_with_setup,QUIC,localhost,4,5,23547999
consensus_with_setup,QUIC,localhost,4,6,31006542
consensus_with_setup,QUIC,localhost,4,7,40426723
consensus_with_setup,QUIC,localhost,4,8,46283729
consensus_with_setup,QUIC,localhost,4,9,28362654
consensus_with_setup,QUIC,localhost,4,10,28706291
consensus_with_setup,QUIC,localhost,4,11,26926603
consensus_with_setup,QUIC,localhost,4,12,24179378
consensus_with_setup,QUIC,localhost,4,13,33846408
consensus_with_setup,QUIC,localhost,4,14,32420237
consensus_with_setup,QUIC,localhost,4,15,26346121
consensus_with_setup,QUIC,localhost,4,16,39782562
consensus_with_setup,QUIC,localhost,4,17,25207522
consensus_with_setup,QUIC,localhost,4,18,23605039
consensus_with_setup,QUIC,localhost,4,19,23250983
consensus_with_setup,QUIC,localhost,4,20,29339193
consensus_with_setup,QUIC,localhost,4,21,27645240
consensus_with_setup,QUIC,localhost,4,22,22816532
consensus_with_setup,QUIC,localhost,4,23,29613826
consensus_with_setup,QUIC,localhost,4,24,24137807
consensus_with_setup,QUIC,localhost,4,25,22192489
consensus_with_setup,QUIC,localhost,4,26,27203125
consensus_with_setup,QUIC,localhost,4,27,27934181
consensus_with_setup,QUIC,localhost,4,28,23565117
consensus_with_setup,QUIC,localhost,4,29,28640158
consensus_with_setup,QUIC,localhost,4,30,72156217
consensus_with_setup,TCP,10ms,4,1,52687396
consensus_with_setup,TCP,10ms,4,2,51979394
consensus_with_setup,TCP,10ms,4,3,52184123
consensus_with_setup,TCP,10ms,4,4,52240150
consensus_with_setup,TCP,10ms,4,5,51973272
consensus_with_setup,TCP,10ms,4,6,53474007
consensus_with_setup,TCP,10ms,4,7,52006698
consensus_with_setup,TCP,10ms,4,8,51905744
consensus_with_setup,TCP,10ms,4,9,52448694
consensus_with_setup,TCP,10ms,4,10,52504998
consensus_with_setup,TCP,10ms,4,11,53104586
consensus_with_setup,TCP,10ms,4,12,52213521
consensus_with_setup,TCP,10ms,4,13,53830193
