benchmark,transport,scenario,sample,control_latency_ns,total_iteration_ns
hol_blocking,TCP,localhost,1,548586,54457504
hol_blocking,TCP,localhost,2,2608028,44032197
hol_blocking,TCP,localhost,3,213286,41738317
hol_blocking,TCP,localhost,4,1707971,43039676
hol_blocking,TCP,localhost,5,2923860,45927556
hol_blocking,TCP,localhost,6,2569006,51657061
hol_blocking,TCP,localhost,7,3186372,34106827
hol_blocking,TCP,localhost,8,5324940,38479302
hol_blocking,TCP,localhost,9,3133690,36371861
hol_blocking,TCP,localhost,10,2385935,44630778
hol_blocking,TCP,localhost,11,2380611,46013648
hol_blocking,TCP,localhost,12,2363562,45358743
hol_blocking,TCP,localhost,13,2507561,46760131
hol_blocking,TCP,localhost,14,2385328,45343366
hol_blocking,TCP,localhost,15,404730,47142131
hol_blocking,TCP,localhost,16,2428460,46805742
hol_blocking,TCP,localhost,17,2387142,43645596
hol_blocking,TCP,localhost,18,17024403,46734572
hol_blocking,TCP,localhost,19,3277109,47794247
hol_blocking,TCP,localhost,20,2670845,52045008
hol_blocking,TCP,localhost,21,2264148,31657882
hol_blocking,TCP,localhost,22,5025632,49344444
hol_blocking,TCP,localhost,23,2470857,40128296
hol_blocking,TCP,localhost,24,5042158,43653195
hol_blocking,TCP,localhost,25,2308691,45152926
hol_blocking,TCP,localhost,26,2433719,45793339
hol_blocking,TCP,localhost,27,2519982,61453484
hol_blocking,TCP,localhost,28,2543910,46581574
hol_blocking,TCP,localhost,29,2230813,49847605
hol_blocking,TCP,localhost,30,2459570,44064557
hol_blocking,QUIC,localhost,1,597644,60049139
hol_blocking,QUIC,localhost,2,642547,54514302
hol_blocking,QUIC,localhost,3,588449,38866985
hol_blocking,QUIC,localhost,4,887161,53744412
hol_blocking,QUIC,localhost,5,446245,46983136
hol_blocking,QUIC,localhost,6,428874,46970636
hol_blocking,QUIC,localhost,7,1432016,51070533
hol_blocking,QUIC,localhost,8,457938,42019041
hol_blocking,QUIC,localhost,9,436401,47479988
hol_blocking,QUIC,localhost,10,351978,57142494
hol_blocking,QUIC,localhost,11,556958,51904594
hol_blocking,QUIC,localhost,12,574398,49311175
hol_blocking,QUIC,localhost,13,422845,49217227
hol_blocking,QUIC,localhost,14,534203,50540785
hol_blocking,QUIC,localhost,15,591828,50567654
hol_blocking,QUIC,localhost,16,883865,47833485
hol_blocking,QUIC,localhost,17,582929,54989091
hol_blocking,QUIC,localhost,18,366368,43898781
hol_blocking,QUIC,localhost,19,529423,47915331
hol_blocking,QUIC,localhost,20,495495,55173523
hol_blocking,QUIC,localhost,21,1230404,55151116
hol_blocking,QUIC,localhost,22,484607,49126870
hol_blocking,QUIC,localhost,23,363622,47032648
hol_blocking,QUIC,localhost,24,480115,52516869
hol_blocking,QUIC,localhost,25,566941,35383433
hol_blocking,QUIC,localhost,26,605327,45904317
hol_blocking,QUIC,localhost,27,524908,46640308
hol_blocking,QUIC,localhost,28,452022,47766808
hol_blocking,QUIC,localhost,29,573975,45893442
hol_blocking,QUIC,localhost,30,434209,48812950
hol_blocking,TCP,1pct_loss,1,32191929,166431511
hol_blocking,TCP,1pct_loss,2,12070389,73707002
hol_blocking,TCP,1pct_loss,3,12247041,72948736
hol_blocking,TCP,1pct_loss,4,12621573,63484031
hol_blocking,TCP,1pct_loss,5,12949562,62762097
hol_blocking,TCP,1pct_loss,6,12579446,61610899
hol_blocking,TCP,1pct_loss,7,12384809,284585683
hol_blocking,TCP,1pct_loss,8,12346793,68371062
hol_blocking,TCP,1pct_loss,9,12524098,70515551
hol_blocking,TCP,1pct_loss,10,12905484,89670095
hol_blocking,TCP,1pct_loss,11,10512951,80150651
hol_blocking,TCP,1pct_loss,12,12415970,73078607
hol_blocking,TCP,1pct_loss,13,12514154,66369668
hol_blocking,TCP,1pct_loss,14,10401254,72934236
hol_blocking,TCP,1pct_loss,15,12346557,65505423
hol_blocking,TCP,1pct_loss,16,12483898,65422461
hol_blocking,TCP,1pct_loss,17,12377582,65525052
hol_blocking,TCP,1pct_loss,18,14134321,67471714
hol_blocking,TCP,1pct_loss,19,12358326,65605043
hol_blocking,TCP,1pct_loss,20,12284782,71147854
hol_blocking,TCP,1pct_loss,21,12880305,64977734
hol_blocking,TCP,1pct_loss,22,10497655,72085098
hol_blocking,TCP,1pct_loss,23,12441992,73898934
hol_blocking,TCP,1pct_loss,24,30438290,79385686
hol_blocking,TCP,1pct_loss,25,12000320,73092667
hol_blocking,TCP,1pct_loss,26,12358789,71456650
hol_blocking,TCP,1pct_loss,27,12485331,70387595
hol_blocking,TCP,1pct_loss,28,12330159,64464556
hol_blocking,TCP,1pct_loss,29,13169319,68322867
hol_blocking,TCP,1pct_loss,30,10415096,66134823
hol_blocking,QUIC,1pct_loss,1,10830315,349729998
hol_blocking,QUIC,1pct_loss,2,11554255,798260494
hol_blocking,QUIC,1pct_loss,3,10893474,622500370
hol_blocking,QUIC,1pct_loss,4,11642820,728388262
hol_blocking,QUIC,1pct_loss,5,11671904,607153404
hol_blocking,QUIC,1pct_loss,6,10376335,554330684
hol_blocking,QUIC,1pct_loss,7,11427660,719513727
hol_blocking,QUIC,1pct_loss,8,10431802,951281575
hol_blocking,QUIC,1pct_loss,9,11562033,972461541
hol_blocking,QUIC,1pct_loss,10,11186915,1068602156
hol_blocking,QUIC,1pct_loss,11,11287476,952420122
hol_blocking,QUIC,1pct_loss,12,16480415,1022913239
hol_blocking,QUIC,1pct_loss,13,12332361,861058942
hol_blocking,QUIC,1pct_loss,14,17692173,976997881
hol_blocking,QUIC,1pct_loss,15,11518896,1100916175
hol_blocking,QUIC,1pct_loss,16,11239964,828907149
hol_blocking,QUIC,1pct_loss,17,11552597,835457099
hol_blocking,QUIC,1pct_loss,18,10228383,783182672
hol_blocking,QUIC,1pct_loss,19,10260788,821765818
hol_blocking,QUIC,1pct_loss,20,10904849,886504977
hol_blocking,QUIC,1pct_loss,21,11328026,940783180
hol_blocking,QUIC,1pct_loss,22,11372831,807143726
hol_blocking,QUIC,1pct_loss,23,11467514,933756540
hol_blocking,QUIC,1pct_loss,24,12589881,1251702898
hol_blocking,QUIC,1pct_loss,25,12187982,809279193
hol_blocking,QUIC,1pct_loss,26,10238334,975051404
hol_blocking,QUIC,1pct_loss,27,11380164,678713388
hol_blocking,QUIC,1pct_loss,28,11486542,828999814
hol_blocking,QUIC,1pct_loss,29,11278869,786393040
hol_blocking,QUIC,1pct_loss,30,11499911,890971737
hol_blocking,TCP,5pct_loss,1,32495565,564541026
hol_blocking,TCP,5pct_loss,2,12372870,69404969
hol_blocking,TCP,5pct_loss,3,12316351,80530841
hol_blocking,TCP,5pct_loss,4,12494575,69146083
hol_blocking,TCP,5pct_loss,5,33477844,82794680
hol_blocking,TCP,5pct_loss,6,12680570,96879480
hol_blocking,TCP,5pct_loss,7,12316908,367163873
hol_blocking,TCP,5pct_loss,8,19069656,115589039
hol_blocking,TCP,5pct_loss,9,12209739,167552163
hol_blocking,TCP,5pct_loss,10,17662203,113055269
hol_blocking,TCP,5pct_loss,11,30469347,179488155
hol_blocking,TCP,5pct_loss,12,14818007,197568879
hol_blocking,TCP,5pct_loss,13,16918507,383739765
hol_blocking,TCP,5pct_loss,14,86226053,294894297
hol_blocking,TCP,5pct_loss,15,17616703,125747196
hol_blocking,TCP,5pct_loss,16,13219122,84489564
hol_blocking,TCP,5pct_loss,17,12354952,142378161
hol_blocking,TCP,5pct_loss,18,12312967,104636930
hol_blocking,TCP,5pct_loss,19,12349958,97499682
hol_blocking,TCP,5pct_loss,20,32449287,388798475
hol_blocking,TCP,5pct_loss,21,32649720,163912176
hol_blocking,TCP,5pct_loss,22,15617304,100094504
hol_blocking,TCP,5pct_loss,23,33367598,448827622
hol_blocking,TCP,5pct_loss,24,14640402,199827274
hol_blocking,TCP,5pct_loss,25,19469250,129929449
hol_blocking,TCP,5pct_loss,26,32348309,206904065
hol_blocking,TCP,5pct_loss,27,38484510,392756310
hol_blocking,TCP,5pct_loss,28,15339474,488924754
hol_blocking,TCP,5pct_loss,29,15844599,149500067
hol_blocking,TCP,5pct_loss,30,30286089,133177517
hol_blocking,QUIC,5pct_loss,1,10600745,2204295032
hol_blocking,QUIC,5pct_loss,2,16797055,1912460726
hol_blocking,QUIC,5pct_loss,3,15084831,1899115911
hol_blocking,QUIC,5pct_loss,4,16950178,2221133609
hol_blocking,QUIC,5pct_loss,5,12760318,2005516800
hol_blocking,QUIC,5pct_loss,6,14621160,2073444317
hol_blocking,QUIC,5pct_loss,7,15301270,2207573399
hol_blocking,QUIC,5pct_loss,8,16788661,2118940087
hol_blocking,QUIC,5pct_loss,9,30591825,2113667403
hol_blocking,QUIC,5pct_loss,10,12610517,2136794355
hol_blocking,QUIC,5pct_loss,11,17745885,2102943919
hol_blocking,QUIC,5pct_loss,12,10339402,2168280816
hol_blocking,QUIC,5pct_loss,13,17971774,2237469988
hol_blocking,QUIC,5pct_loss,14,13086086,2070069380
hol_blocking,QUIC,5pct_loss,15,10504971,2551179748
hol_blocking,QUIC,5pct_loss,16,29530445,2290177665
hol_blocking,QUIC,5pct_loss,17,17861133,1947651096
hol_blocking,QUIC,5pct_loss,18,10712738,1748293074
hol_blocking,QUIC,5pct_loss,19,17780688,2488217446
hol_blocking,QUIC,5pct_loss,20,12586052,1750229682
hol_blocking,QUIC,5pct_loss,21,17011112,2207498905
hol_blocking,QUIC,5pct_loss,22,10827248,2545927297
hol_blocking,QUIC,5pct_loss,23,30932916,2228495904
hol_blocking,QUIC,5pct_loss,24,16999168,2365736595
hol_blocking,QUIC,5pct_loss,25,17881310,1811930337
hol_blocking,QUIC,5pct_loss,26,16812944,1730921339
hol_blocking,QUIC,5pct_loss,27,38449615,2273532997
hol_blocking,QUIC,5pct_loss,28,12679056,2339056982
hol_blocking,QUIC,5pct_loss,29,30911352,1768502935
hol_blocking,QUIC,5pct_loss,30,11653911,2112820952
hol_blocking,TCP,wan,1,294011053,1782054646
hol_blocking,TCP,wan,2,101525138,1468387342
hol_blocking,TCP,wan,3,928203325,1472965724
hol_blocking,TCP,wan,4,106933310,1474517942
hol_blocking,TCP,wan,5,102392706,1473346124
hol_blocking,TCP,wan,6,110598847,1474754290
hol_blocking,TCP,wan,7,105859260,1474960584
hol_blocking,TCP,wan,8,108539226,1474860284
hol_blocking,TCP,wan,9,111966485,1446324600
hol_blocking,TCP,wan,10,105460310,1497491726
hol_blocking,TCP,wan,11,103934008,1436544889
