benchmark,transport,scenario,sample,value_ns
message_latency,TCP,localhost,1,1019600
message_latency,TCP,localhost,2,302472
message_latency,TCP,localhost,3,199458
message_latency,TCP,localhost,4,187552
message_latency,TCP,localhost,5,195675
message_latency,TCP,localhost,6,179179
message_latency,TCP,localhost,7,187196
message_latency,TCP,localhost,8,179233
message_latency,TCP,localhost,9,197561
message_latency,TCP,localhost,10,200274
message_latency,TCP,localhost,11,187332
message_latency,TCP,localhost,12,201547
message_latency,TCP,localhost,13,186837
message_latency,TCP,localhost,14,183693
message_latency,TCP,localhost,15,209870
message_latency,TCP,localhost,16,187826
message_latency,TCP,localhost,17,181805
message_latency,TCP,localhost,18,182168
message_latency,TCP,localhost,19,194836
message_latency,TCP,localhost,20,283219
message_latency,TCP,localhost,21,255642
message_latency,TCP,localhost,22,247115
message_latency,TCP,localhost,23,258418
message_latency,TCP,localhost,24,271493
message_latency,TCP,localhost,25,246236
message_latency,TCP,localhost,26,237631
message_latency,TCP,localhost,27,350351
message_latency,TCP,localhost,28,300880
message_latency,TCP,localhost,29,233000
message_latency,TCP,localhost,30,265437
message_latency,TCP,localhost,31,263757
message_latency,TCP,localhost,32,317405
message_latency,TCP,localhost,33,146240
message_latency,TCP,localhost,34,204871
message_latency,TCP,localhost,35,272661
message_latency,TCP,localhost,36,190121
message_latency,TCP,localhost,37,185798
message_latency,TCP,localhost,38,197228
message_latency,TCP,localhost,39,188688
message_latency,TCP,localhost,40,198126
message_latency,TCP,localhost,41,182602
message_latency,TCP,localhost,42,179603
message_latency,TCP,localhost,43,181854
message_latency,TCP,localhost,44,250895
message_latency,TCP,localhost,45,194610
message_latency,TCP,localhost,46,138444
message_latency,TCP,localhost,47,138127
message_latency,TCP,localhost,48,136197
message_latency,TCP,localhost,49,171489
message_latency,TCP,localhost,50,128667
message_latency,TCP,localhost,51,132940
message_latency,TCP,localhost,52,217176
message_latency,TCP,localhost,53,145339
message_latency,TCP,localhost,54,143675
message_latency,TCP,localhost,55,158774
message_latency,TCP,localhost,56,141835
message_latency,TCP,localhost,57,136813
message_latency,TCP,localhost,58,169911
message_latency,TCP,localhost,59,145115
message_latency,TCP,localhost,60,145404
message_latency,TCP,localhost,61,142764
message_latency,TCP,localhost,62,138856
message_latency,TCP,localhost,63,139368
message_latency,TCP,localhost,64,137548
message_latency,TCP,localhost,65,149848
message_latency,TCP,localhost,66,163468
message_latency,TCP,localhost,67,1167194
message_latency,TCP,localhost,68,241799
message_latency,TCP,localhost,69,168191
message_latency,TCP,localhost,70,122654
message_latency,TCP,localhost,71,173241
message_latency,TCP,localhost,72,108636
message_latency,TCP,localhost,73,88215
message_latency,TCP,localhost,74,90983
message_latency,TCP,localhost,75,84473
message_latency,TCP,localhost,76,76867
message_latency,TCP,localhost,77,80458
message_latency,TCP,localhost,78,64868
message_latency,TCP,localhost,79,66276
message_latency,TCP,localhost,80,70514
message_latency,TCP,localhost,81,84505
message_latency,TCP,localhost,82,91405
message_latency,TCP,localhost,83,108417
message_latency,TCP,localhost,84,83006
message_latency,TCP,localhost,85,76334
message_latency,TCP,localhost,86,76040
message_latency,TCP,localhost,87,77010
message_latency,TCP,localhost,88,76975
message_latency,TCP,localhost,89,77135
message_latency,TCP,localhost,90,110613
message_latency,TCP,localhost,91,66083
message_latency,TCP,localhost,92,64819
message_latency,TCP,localhost,93,84806
message_latency,TCP,localhost,94,64978
message_latency,TCP,localhost,95,65222
message_latency,TCP,localhost,96,83108
message_latency,TCP,localhost,97,101143
message_latency,TCP,localhost,98,148050
message_latency,TCP,localhost,99,112712
message_latency,TCP,localhost,100,69701
message_latency,QUIC,localhost,1,421767
message_latency,QUIC,localhost,2,291027
message_latency,QUIC,localhost,3,240565
message_latency,QUIC,localhost,4,117799
message_latency,QUIC,localhost,5,186526
message_latency,QUIC,localhost,6,108223
message_latency,QUIC,localhost,7,343506
message_latency,QUIC,localhost,8,185649
message_latency,QUIC,localhost,9,236162
message_latency,QUIC,localhost,10,233387
message_latency,QUIC,localhost,11,138306
message_latency,QUIC,localhost,12,114282
message_latency,QUIC,localhost,13,86640
message_latency,QUIC,localhost,14,93453
message_latency,QUIC,localhost,15,92767
message_latency,QUIC,localhost,16,123245
message_latency,QUIC,localhost,17,112592
message_latency,QUIC,localhost,18,104926
message_latency,QUIC,localhost,19,77751
message_latency,QUIC,localhost,20,199296
message_latency,QUIC,localhost,21,192692
message_latency,QUIC,localhost,22,168332
message_latency,QUIC,localhost,23,93173
message_latency,QUIC,localhost,24,116685
message_latency,QUIC,localhost,25,141279
message_latency,QUIC,localhost,26,218466
message_latency,QUIC,localhost,27,97113
message_latency,QUIC,localhost,28,107256
message_latency,QUIC,localhost,29,137246
message_latency,QUIC,localhost,30,203079
message_latency,QUIC,localhost,31,363459
message_latency,QUIC,localhost,32,207494
message_latency,QUIC,localhost,33,121581
message_latency,QUIC,localhost,34,157128
message_latency,QUIC,localhost,35,92865
message_latency,QUIC,localhost,36,160723
message_latency,QUIC,localhost,37,138462
message_latency,QUIC,localhost,38,162983
message_latency,QUIC,localhost,39,88229
message_latency,QUIC,localhost,40,210182
message_latency,QUIC,localhost,41,88408
message_latency,QUIC,localhost,42,199278
message_latency,QUIC,localhost,43,220091
message_latency,QUIC,localhost,44,200403
message_latency,QUIC,localhost,45,150761
message_latency,QUIC,localhost,46,184503
message_latency,QUIC,localhost,47,145270
message_latency,QUIC,localhost,48,165124
message_latency,QUIC,localhost,49,116083
message_latency,QUIC,localhost,50,180078
message_latency,QUIC,localhost,51,550651
message_latency,QUIC,localhost,52,322403
message_latency,QUIC,localhost,53,188399
message_latency,QUIC,localhost,54,322440
message_latency,QUIC,localhost,55,179547
message_latency,QUIC,localhost,56,280858
message_latency,QUIC,localhost,57,538254
message_latency,QUIC,localhost,58,400260
message_latency,QUIC,localhost,59,255697
message_latency,QUIC,localhost,60,338269
message_latency,QUIC,localhost,61,319874
message_latency,QUIC,localhost,62,227801
message_latency,QUIC,localhost,63,183866
message_latency,QUIC,localhost,64,215957
message_latency,QUIC,localhost,65,176458
message_latency,QUIC,localhost,66,175040
message_latency,QUIC,localhost,67,71460
message_latency,QUIC,localhost,68,98625
message_latency,QUIC,localhost,69,76996
message_latency,QUIC,localhost,70,123216
message_latency,QUIC,localhost,71,170249
message_latency,QUIC,localhost,72,67342
message_latency,QUIC,localhost,73,70809
message_latency,QUIC,localhost,74,95747
message_latency,QUIC,localhost,75,92029
message_latency,QUIC,localhost,76,70154
message_latency,QUIC,localhost,77,72746
message_latency,QUIC,localhost,78,101690
message_latency,QUIC,localhost,79,70892
message_latency,QUIC,localhost,80,106311
message_latency,QUIC,localhost,81,71842
message_latency,QUIC,localhost,82,95177
message_latency,QUIC,localhost,83,70330
message_latency,QUIC,localhost,84,179868
message_latency,QUIC,localhost,85,343336
message_latency,QUIC,localhost,86,134525
message_latency,QUIC,localhost,87,778995
message_latency,QUIC,localhost,88,217198
message_latency,QUIC,localhost,89,307489
message_latency,QUIC,localhost,90,106749
message_latency,QUIC,localhost,91,253802
message_latency,QUIC,localhost,92,189486
message_latency,QUIC,localhost,93,169029
message_latency,QUIC,localhost,94,213746
message_latency,QUIC,localhost,95,376117
message_latency,QUIC,localhost,96,140037
message_latency,QUIC,localhost,97,118400
message_latency,QUIC,localhost,98,90675
message_latency,QUIC,localhost,99,112099
message_latency,QUIC,localhost,100,91139
message_latency,TCP,10ms,1,10259314
message_latency,TCP,10ms,2,10130375
message_latency,TCP,10ms,3,10221335
message_latency,TCP,10ms,4,10107547
message_latency,TCP,10ms,5,10143853
message_latency,TCP,10ms,6,10091933
message_latency,TCP,10ms,7,10073740
message_latency,TCP,10ms,8,10084278
message_latency,TCP,10ms,9,10071278
message_latency,TCP,10ms,10,10093008
message_latency,TCP,10ms,11,10094159
message_latency,TCP,10ms,12,10087293
message_latency,TCP,10ms,13,10225679
message_latency,TCP,10ms,14,10304159
message_latency,TCP,10ms,15,10198303
message_latency,TCP,10ms,16,10204481
message_latency,TCP,10ms,17,10182949
message_latency,TCP,10ms,18,10268361
message_latency,TCP,10ms,19,10134286
message_latency,TCP,10ms,20,10157760
message_latency,TCP,10ms,21,10128486
message_latency,TCP,10ms,22,10098372
message_latency,TCP,10ms,23,10139641
message_latency,TCP,10ms,24,10094390
message_latency,TCP,10ms,25,10087509
message_latency,TCP,10ms,26,10191854
message_latency,TCP,10ms,27,10128261
message_latency,TCP,10ms,28,10111473
message_latency,TCP,10ms,29,10196901
message_latency,TCP,10ms,30,10122165
message_latency,TCP,10ms,31,10086911
message_latency,TCP,10ms,32,10074095
message_latency,TCP,10ms,33,10073101
message_latency,TCP,10ms,34,10085478
message_latency,TCP,10ms,35,10118960
message_latency,TCP,10ms,36,10088146
message_latency,TCP,10ms,37,10125808
message_latency,TCP,10ms,38,10124534
message_latency,TCP,10ms,39,10110971
message_latency,TCP,10ms,40,10124434
message_latency,TCP,10ms,41,10096705
message_latency,TCP,10ms,42,10102399
message_latency,TCP,10ms,43,10079119
message_latency,TCP,10ms,44,10087553
message_latency,TCP,10ms,45,10078519
message_latency,TCP,10ms,46,10089119
message_latency,TCP,10ms,47,10112477
message_latency,TCP,10ms,48,10102894
message_latency,TCP,10ms,49,10159684
message_latency,TCP,10ms,50,10118543
message_latency,TCP,10ms,51,10174148
message_latency,TCP,10ms,52,10158248
message_latency,TCP,10ms,53,10200183
message_latency,TCP,10ms,54,10176744
message_latency,TCP,10ms,55,10141184
message_latency,TCP,10ms,56,10091551
message_latency,TCP,10ms,57,10120974
message_latency,TCP,10ms,58,10153881
message_latency,TCP,10ms,59,10163320
message_latency,TCP,10ms,60,10186015
message_latency,TCP,10ms,61,10137267
message_latency,TCP,10ms,62,10154552
message_latency,TCP,10ms,63,10111422
message_latency,TCP,10ms,64,10135653
message_latency,TCP,10ms,65,10093851
message_latency,TCP,10ms,66,10100462
message_latency,TCP,10ms,67,10099300
message_latency,TCP,10ms,68,10139040
message_latency,TCP,10ms,69,10115394
message_latency,TCP,10ms,70,10080165
message_latency,TCP,10ms,71,10076639
message_latency,TCP,10ms,72,10076578
message_latency,TCP,10ms,73,10075557
message_latency,TCP,10ms,74,10087890
message_latency,TCP,10ms,75,10074573
message_latency,TCP,10ms,76,10099687
message_latency,TCP,10ms,77,10120170
message_latency,TCP,10ms,78,10177864
message_latency,TCP,10ms,79,10115735
message_latency,TCP,10ms,80,10086036
message_latency,TCP,10ms,81,10099062
message_latency,TCP,10ms,82,10093576
message_latency,TCP,10ms,83,10085939
message_latency,TCP,10ms,84,10074729
message_latency,TCP,10ms,85,10082249
message_latency,TCP,10ms,86,10104100
message_latency,TCP,10ms,87,10127245
message_latency,TCP,10ms,88,10139403
message_latency,TCP,10ms,89,10129080
message_latency,TCP,10ms,90,10096304
message_latency,TCP,10ms,91,10102059
message_latency,TCP,10ms,92,10122173
message_latency,TCP,10ms,93,10100919
message_latency,TCP,10ms,94,10124897
message_latency,TCP,10ms,95,10128285
message_latency,TCP,10ms,96,10151389
message_latency,TCP,10ms,97,10131261
message_latency,TCP,10ms,98,10105019
message_latency,TCP,10ms,99,10122815
message_latency,TCP,10ms,100,10104739
message_latency,QUIC,10ms,1,10669233
message_latency,QUIC,10ms,2,10369387
message_latency,QUIC,10ms,3,10374091
message_latency,QUIC,10ms,4,10211659
message_latency,QUIC,10ms,5,10438918
message_latency,QUIC,10ms,6,10450599
message_latency,QUIC,10ms,7,10328612
message_latency,QUIC,10ms,8,10346102
message_latency,QUIC,10ms,9,10352112
message_latency,QUIC,10ms,10,10359682
