benchmark,transport,scenario,payload_size,sample,duration_ns,throughput_mbps
payload_scaling,TCP,localhost,128B,1,548194,0.2335
payload_scaling,TCP,localhost,128B,2,154592,0.8280
payload_scaling,TCP,localhost,128B,3,234119,0.5467
payload_scaling,TCP,localhost,128B,4,151047,0.8474
payload_scaling,TCP,localhost,128B,5,154738,0.8272
payload_scaling,TCP,localhost,128B,6,163277,0.7839
payload_scaling,TCP,localhost,128B,7,154700,0.8274
payload_scaling,TCP,localhost,128B,8,168546,0.7594
payload_scaling,TCP,localhost,128B,9,100045,1.2794
payload_scaling,TCP,localhost,128B,10,103480,1.2370
payload_scaling,TCP,localhost,128B,11,114577,1.1172
payload_scaling,TCP,localhost,128B,12,110695,1.1563
payload_scaling,TCP,localhost,128B,13,93897,1.3632
payload_scaling,TCP,localhost,128B,14,93683,1.3663
payload_scaling,TCP,localhost,128B,15,96131,1.3315
payload_scaling,TCP,localhost,128B,16,110011,1.1635
payload_scaling,TCP,localhost,128B,17,72902,1.7558
payload_scaling,TCP,localhost,128B,18,90087,1.4208
payload_scaling,TCP,localhost,128B,19,70984,1.8032
payload_scaling,TCP,localhost,128B,20,25995,4.9240
payload_scaling,TCP,localhost,128B,21,24184,5.2928
payload_scaling,TCP,localhost,128B,22,23715,5.3974
payload_scaling,TCP,localhost,128B,23,23756,5.3881
payload_scaling,TCP,localhost,128B,24,29549,4.3318
payload_scaling,TCP,localhost,128B,25,23855,5.3658
payload_scaling,TCP,localhost,128B,26,24199,5.2895
payload_scaling,TCP,localhost,128B,27,24136,5.3033
payload_scaling,TCP,localhost,128B,28,23950,5.3445
payload_scaling,TCP,localhost,128B,29,24255,5.2773
payload_scaling,TCP,localhost,128B,30,29257,4.3750
payload_scaling,TCP,localhost,128B,31,23875,5.3613
payload_scaling,TCP,localhost,128B,32,34993,3.6579
payload_scaling,TCP,localhost,128B,33,24588,5.2058
payload_scaling,TCP,localhost,128B,34,25418,5.0358
payload_scaling,TCP,localhost,128B,35,24379,5.2504
payload_scaling,TCP,localhost,128B,36,30406,4.2097
payload_scaling,TCP,localhost,128B,37,23188,5.5201
payload_scaling,TCP,localhost,128B,38,25235,5.0723
payload_scaling,TCP,localhost,128B,39,25684,4.9836
payload_scaling,TCP,localhost,128B,40,24848,5.1513
payload_scaling,TCP,localhost,128B,41,23644,5.4136
payload_scaling,TCP,localhost,128B,42,29818,4.2927
payload_scaling,TCP,localhost,128B,43,24610,5.2011
payload_scaling,TCP,localhost,128B,44,25143,5.0909
payload_scaling,TCP,localhost,128B,45,23702,5.4004
payload_scaling,TCP,localhost,128B,46,23799,5.3784
payload_scaling,TCP,localhost,128B,47,24061,5.3198
payload_scaling,TCP,localhost,128B,48,31188,4.1041
payload_scaling,TCP,localhost,128B,49,45066,2.8403
payload_scaling,TCP,localhost,128B,50,31229,4.0988
payload_scaling,TCP,localhost,1KB,1,59868,17.1043
payload_scaling,TCP,localhost,1KB,2,49647,20.6256
payload_scaling,TCP,localhost,1KB,3,41307,24.7900
payload_scaling,TCP,localhost,1KB,4,47404,21.6016
payload_scaling,TCP,localhost,1KB,5,43778,23.3907
payload_scaling,TCP,localhost,1KB,6,42640,24.0150
payload_scaling,TCP,localhost,1KB,7,41878,24.4520
payload_scaling,TCP,localhost,1KB,8,48107,21.2859
payload_scaling,TCP,localhost,1KB,9,57602,17.7772
payload_scaling,TCP,localhost,1KB,10,48511,21.1086
payload_scaling,TCP,localhost,1KB,11,41119,24.9033
payload_scaling,TCP,localhost,1KB,12,42032,24.3624
payload_scaling,TCP,localhost,1KB,13,125141,8.1828
payload_scaling,TCP,localhost,1KB,14,73010,14.0255
payload_scaling,TCP,localhost,1KB,15,120653,8.4871
payload_scaling,TCP,localhost,1KB,16,276028,3.7098
payload_scaling,TCP,localhost,1KB,17,214780,4.7677
payload_scaling,TCP,localhost,1KB,18,373151,2.7442
payload_scaling,TCP,localhost,1KB,19,294427,3.4779
payload_scaling,TCP,localhost,1KB,20,188679,5.4272
payload_scaling,TCP,localhost,1KB,21,173040,5.9177
payload_scaling,TCP,localhost,1KB,22,137038,7.4724
payload_scaling,TCP,localhost,1KB,23,163009,6.2819
payload_scaling,TCP,localhost,1KB,24,137093,7.4694
payload_scaling,TCP,localhost,1KB,25,136639,7.4942
payload_scaling,TCP,localhost,1KB,26,133333,7.6800
payload_scaling,TCP,localhost,1KB,27,119568,8.5642
payload_scaling,TCP,localhost,1KB,28,118457,8.6445
payload_scaling,TCP,localhost,1KB,29,182367,5.6151
payload_scaling,TCP,localhost,1KB,30,132490,7.7289
