benchmark,transport,scenario,sample,value_ns
round_change,TCP,localhost,1,203587085
round_change,TCP,localhost,2,202027251
round_change,TCP,localhost,3,201972241
round_change,TCP,localhost,4,202651279
round_change,TCP,localhost,5,201766150
round_change,TCP,localhost,6,201524013
round_change,TCP,localhost,7,201552568
round_change,TCP,localhost,8,201704562
round_change,TCP,localhost,9,201481848
round_change,TCP,localhost,10,201713236
round_change,TCP,localhost,11,202128780
round_change,TCP,localhost,12,201756989
round_change,TCP,localhost,13,202063042
round_change,TCP,localhost,14,201832526
round_change,TCP,localhost,15,202004806
round_change,TCP,localhost,16,201820518
round_change,TCP,localhost,17,202054169
round_change,TCP,localhost,18,202725626
round_change,TCP,localhost,19,202418490
round_change,TCP,localhost,20,201873431
round_change,QUIC,localhost,1,202690035
round_change,QUIC,localhost,2,202040790
round_change,QUIC,localhost,3,204132946
round_change,QUIC,localhost,4,203293587
round_change,QUIC,localhost,5,202495220
round_change,QUIC,localhost,6,201968168
round_change,QUIC,localhost,7,202187374
round_change,QUIC,localhost,8,203610082
round_change,QUIC,localhost,9,205540608
round_change,QUIC,localhost,10,202322770
round_change,QUIC,localhost,11,202423693
round_change,QUIC,localhost,12,202713971
round_change,QUIC,localhost,13,206744905
round_change,QUIC,localhost,14,202845666
round_change,QUIC,localhost,15,201828581
round_change,QUIC,localhost,16,202874982
round_change,QUIC,localhost,17,203541310
round_change,QUIC,localhost,18,203799622
round_change,QUIC,localhost,19,202871930
round_change,QUIC,localhost,20,202281234
round_change,TCP,10ms,1,242091271
round_change,TCP,10ms,2,242491187
round_change,TCP,10ms,3,241795543
round_change,TCP,10ms,4,242174527
round_change,TCP,10ms,5,242398178
round_change,TCP,10ms,6,242418091
round_change,TCP,10ms,7,242463928
round_change,TCP,10ms,8,241993452
round_change,TCP,10ms,9,242472540
round_change,TCP,10ms,10,242278394
round_change,TCP,10ms,11,242758570
round_change,TCP,10ms,12,242432394
round_change,TCP,10ms,13,242262952
round_change,TCP,10ms,14,242674339
round_change,TCP,10ms,15,242104914
round_change,TCP,10ms,16,242149360
round_change,TCP,10ms,17,241933773
round_change,TCP,10ms,18,241997072
round_change,TCP,10ms,19,242016337
round_change,TCP,10ms,20,242213968
round_change,QUIC,10ms,1,243544286
round_change,QUIC,10ms,2,242748555
round_change,QUIC,10ms,3,243443544
round_change,QUIC,10ms,4,242396315
round_change,QUIC,10ms,5,242839967
round_change,QUIC,10ms,6,242801429
round_change,QUIC,10ms,7,242492376
round_change,QUIC,10ms,8,242446993
round_change,QUIC,10ms,9,242919337
round_change,QUIC,10ms,10,243048934
round_change,QUIC,10ms,11,242228755
round_change,QUIC,10ms,12,242640895
round_change,QUIC,10ms,13,242981987
round_change,QUIC,10ms,14,243387601
round_change,QUIC,10ms,15,242037456
round_change,QUIC,10ms,16,243666024
round_change,QUIC,10ms,17,242137888
round_change,QUIC,10ms,18,244174301
round_change,QUIC,10ms,19,245249241
round_change,QUIC,10ms,20,243805093
round_change,TCP,wan,1,358505769
round_change,TCP,wan,2,571827139
round_change,TCP,wan,3,358523553
round_change,TCP,wan,4,354756400
round_change,TCP,wan,5,360453400
round_change,TCP,wan,6,356270530
round_change,TCP,wan,7,355228919
round_change,TCP,wan,8,359214031
round_change,TCP,wan,9,407153188
round_change,TCP,wan,10,358875468
round_change,TCP,wan,11,357742824
round_change,TCP,wan,12,353934893
round_change,TCP,wan,13,354924475
round_change,TCP,wan,14,359390298
round_change,TCP,wan,15,357886798
round_change,TCP,wan,16,699867616
round_change,TCP,wan,17,351905938
round_change,TCP,wan,18,356181516
round_change,TCP,wan,19,350842634
round_change,TCP,wan,20,351651088
round_change,QUIC,wan,1,358038416
round_change,QUIC,wan,2,586965596
round_change,QUIC,wan,3,347869665
round_change,QUIC,wan,4,330204748
round_change,QUIC,wan,5,338917611
round_change,QUIC,wan,6,349710315
round_change,QUIC,wan,7,344848871
round_change,QUIC,wan,8,337268742
round_change,QUIC,wan,9,339857723
round_change,QUIC,wan,10,345953785
round_change,QUIC,wan,11,343482964
round_change,QUIC,wan,12,429708704
round_change,QUIC,wan,13,341975388
round_change,QUIC,wan,14,343849685
round_change,QUIC,wan,15,328052416
round_change,QUIC,wan,16,459026839
round_change,QUIC,wan,17,357742727
round_change,QUIC,wan,18,340782872
round_change,QUIC,wan,19,345680204
round_change,QUIC,wan,20,345729560
