benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus,TCP,localhost,4,1,2437336
steady_state_consensus,TCP,localhost,4,2,1179239
steady_state_consensus,TCP,localhost,4,3,1719441
steady_state_consensus,TCP,localhost,4,4,1061803
steady_state_consensus,TCP,localhost,4,5,1262918
steady_state_consensus,TCP,localhost,4,6,1078271
steady_state_consensus,TCP,localhost,4,7,1540116
steady_state_consensus,TCP,localhost,4,8,924641
steady_state_consensus,TCP,localhost,4,9,7381644
steady_state_consensus,TCP,localhost,4,10,1170014
steady_state_consensus,TCP,localhost,4,11,1143774
steady_state_consensus,TCP,localhost,4,12,932543
steady_state_consensus,TCP,localhost,4,13,911813
steady_state_consensus,TCP,localhost,4,14,1116078
steady_state_consensus,TCP,localhost,4,15,1173197
steady_state_consensus,TCP,localhost,4,16,869206
steady_state_consensus,TCP,localhost,4,17,725628
steady_state_consensus,TCP,localhost,4,18,891002
steady_state_consensus,TCP,localhost,4,19,1369275
steady_state_consensus,TCP,localhost,4,20,1246480
steady_state_consensus,TCP,localhost,4,21,1276629
steady_state_consensus,TCP,localhost,4,22,1227365
steady_state_consensus,TCP,localhost,4,23,876679
steady_state_consensus,TCP,localhost,4,24,1286984
steady_state_consensus,TCP,localhost,4,25,795593
steady_state_consensus,TCP,localhost,4,26,2044118
steady_state_consensus,TCP,localhost,4,27,1136610
steady_state_consensus,TCP,localhost,4,28,955225
steady_state_consensus,TCP,localhost,4,29,1287043
steady_state_consensus,TCP,localhost,4,30,1110982
steady_state_consensus,TCP,localhost,4,31,1268583
steady_state_consensus,TCP,localhost,4,32,758995
steady_state_consensus,TCP,localhost,4,33,1109506
steady_state_consensus,TCP,localhost,4,34,908449
steady_state_consensus,TCP,localhost,4,35,930820
steady_state_consensus,TCP,localhost,4,36,1076436
steady_state_consensus,TCP,localhost,4,37,1227834
steady_state_consensus,TCP,localhost,4,38,1183809
steady_state_consensus,TCP,localhost,4,39,893468
steady_state_consensus,TCP,localhost,4,40,1224170
steady_state_consensus,TCP,localhost,4,41,1294155
steady_state_consensus,TCP,localhost,4,42,4763689
steady_state_consensus,TCP,localhost,4,43,932326
steady_state_consensus,TCP,localhost,4,44,1009322
steady_state_consensus,TCP,localhost,4,45,984273
