benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus_7n,TCP,localhost,7,1,8094329
steady_state_consensus_7n,TCP,localhost,7,2,3796077
steady_state_consensus_7n,TCP,localhost,7,3,3150877
steady_state_consensus_7n,TCP,localhost,7,4,4068466
steady_state_consensus_7n,TCP,localhost,7,5,1611672
steady_state_consensus_7n,TCP,localhost,7,6,2008835
steady_state_consensus_7n,TCP,localhost,7,7,1398125
steady_state_consensus_7n,TCP,localhost,7,8,1570311
steady_state_consensus_7n,TCP,localhost,7,9,1464598
steady_state_consensus_7n,TCP,localhost,7,10,1538109
steady_state_consensus_7n,TCP,localhost,7,11,1744619
steady_state_consensus_7n,TCP,localhost,7,12,3833964
steady_state_consensus_7n,TCP,localhost,7,13,1512913
steady_state_consensus_7n,TCP,localhost,7,14,1561162
steady_state_consensus_7n,TCP,localhost,7,15,1352594
steady_state_consensus_7n,TCP,localhost,7,16,1349250
steady_state_consensus_7n,TCP,localhost,7,17,1451243
steady_state_consensus_7n,TCP,localhost,7,18,1624872
steady_state_consensus_7n,TCP,localhost,7,19,1449111
steady_state_consensus_7n,TCP,localhost,7,20,1752410
steady_state_consensus_7n,TCP,localhost,7,21,1479902
steady_state_consensus_7n,TCP,localhost,7,22,3730770
steady_state_consensus_7n,TCP,localhost,7,23,1872512
steady_state_consensus_7n,TCP,localhost,7,24,1873685
steady_state_consensus_7n,TCP,localhost,7,25,1616899
steady_state_consensus_7n,TCP,localhost,7,26,1490595
steady_state_consensus_7n,TCP,localhost,7,27,1533738
steady_state_consensus_7n,TCP,localhost,7,28,1884087
steady_state_consensus_7n,TCP,localhost,7,29,1818350
steady_state_consensus_7n,TCP,localhost,7,30,1740709
steady_state_consensus_7n,QUIC,localhost,7,1,13657442
steady_state_consensus_7n,QUIC,localhost,7,2,2212445
steady_state_consensus_7n,QUIC,localhost,7,3,1797716
steady_state_consensus_7n,QUIC,localhost,7,4,3564927
steady_state_consensus_7n,QUIC,localhost,7,5,4432317
steady_state_consensus_7n,QUIC,localhost,7,6,4253905
steady_state_consensus_7n,QUIC,localhost,7,7,2312657
steady_state_consensus_7n,QUIC,localhost,7,8,3359219
steady_state_consensus_7n,QUIC,localhost,7,9,2423066
steady_state_consensus_7n,QUIC,localhost,7,10,1774922
steady_state_consensus_7n,QUIC,localhost,7,11,2272963
steady_state_consensus_7n,QUIC,localhost,7,12,2139010
steady_state_consensus_7n,QUIC,localhost,7,13,1761122
steady_state_consensus_7n,QUIC,localhost,7,14,2233625
steady_state_consensus_7n,QUIC,localhost,7,15,2132548
steady_state_consensus_7n,QUIC,localhost,7,16,1895451
steady_state_consensus_7n,QUIC,localhost,7,17,1666064
steady_state_consensus_7n,QUIC,localhost,7,18,2264497
steady_state_consensus_7n,QUIC,localhost,7,19,2138706
steady_state_consensus_7n,QUIC,localhost,7,20,2859793
steady_state_consensus_7n,QUIC,localhost,7,21,2265303
steady_state_consensus_7n,QUIC,localhost,7,22,2886753
steady_state_consensus_7n,QUIC,localhost,7,23,2134509
steady_state_consensus_7n,QUIC,localhost,7,24,3105227
steady_state_consensus_7n,QUIC,localhost,7,25,2805439
steady_state_consensus_7n,QUIC,localhost,7,26,2886094
steady_state_consensus_7n,QUIC,localhost,7,27,2363008
steady_state_consensus_7n,QUIC,localhost,7,28,3451187
steady_state_consensus_7n,QUIC,localhost,7,29,2768765
steady_state_consensus_7n,QUIC,localhost,7,30,2833924
steady_state_consensus_7n,TCP,10ms,7,1,33079678
steady_state_consensus_7n,TCP,10ms,7,2,31694468
steady_state_consensus_7n,TCP,10ms,7,3,32249295
steady_state_consensus_7n,TCP,10ms,7,4,32686794
steady_state_consensus_7n,TCP,10ms,7,5,31750663
steady_state_consensus_7n,TCP,10ms,7,6,32754435
steady_state_consensus_7n,TCP,10ms,7,7,32339468
steady_state_consensus_7n,TCP,10ms,7,8,31930470
steady_state_consensus_7n,TCP,10ms,7,9,31998163
steady_state_consensus_7n,TCP,10ms,7,10,32038897
steady_state_consensus_7n,TCP,10ms,7,11,32507774
steady_state_consensus_7n,TCP,10ms,7,12,32158207
steady_state_consensus_7n,TCP,10ms,7,13,32015160
steady_state_consensus_7n,TCP,10ms,7,14,32133689
steady_state_consensus_7n,TCP,10ms,7,15,32168750
steady_state_consensus_7n,TCP,10ms,7,16,32997885
steady_state_consensus_7n,TCP,10ms,7,17,32146121
steady_state_consensus_7n,TCP,10ms,7,18,32345116
steady_state_consensus_7n,TCP,10ms,7,19,32666471
steady_state_consensus_7n,TCP,10ms,7,20,32633647
steady_state_consensus_7n,TCP,10ms,7,21,32304389
steady_state_consensus_7n,TCP,10ms,7,22,32731340
steady_state_consensus_7n,TCP,10ms,7,23,31624994
steady_state_consensus_7n,TCP,10ms,7,24,31576276
steady_state_consensus_7n,TCP,10ms,7,25,32870533
steady_state_consensus_7n,TCP,10ms,7,26,32253113
steady_state_consensus_7n,TCP,10ms,7,27,32185258
steady_state_consensus_7n,TCP,10ms,7,28,31723714
steady_state_consensus_7n,TCP,10ms,7,29,31725761
steady_state_consensus_7n,TCP,10ms,7,30,32044638
steady_state_consensus_7n,QUIC,10ms,7,1,33180499
steady_state_consensus_7n,QUIC,10ms,7,2,31913243
steady_state_consensus_7n,QUIC,10ms,7,3,31935749
steady_state_consensus_7n,QUIC,10ms,7,4,31774267
steady_state_consensus_7n,QUIC,10ms,7,5,32380168
steady_state_consensus_7n,QUIC,10ms,7,6,32336030
steady_state_consensus_7n,QUIC,10ms,7,7,31943228
steady_state_consensus_7n,QUIC,10ms,7,8,31945310
steady_state_consensus_7n,QUIC,10ms,7,9,31793669
steady_state_consensus_7n,QUIC,10ms,7,10,34915268
steady_state_consensus_7n,QUIC,10ms,7,11,33218751
steady_state_consensus_7n,QUIC,10ms,7,12,32209630
steady_state_consensus_7n,QUIC,10ms,7,13,31873516
steady_state_consensus_7n,QUIC,10ms,7,14,32150928
steady_state_consensus_7n,QUIC,10ms,7,15,32463185
steady_state_consensus_7n,QUIC,10ms,7,16,32023160
steady_state_consensus_7n,QUIC,10ms,7,17,32080871
steady_state_consensus_7n,QUIC,10ms,7,18,32542667
steady_state_consensus_7n,QUIC,10ms,7,19,32778006
steady_state_consensus_7n,QUIC,10ms,7,20,32040102
steady_state_consensus_7n,QUIC,10ms,7,21,31998914
steady_state_consensus_7n,QUIC,10ms,7,22,31779250
steady_state_consensus_7n,QUIC,10ms,7,23,31695572
steady_state_consensus_7n,QUIC,10ms,7,24,32229359
steady_state_consensus_7n,QUIC,10ms,7,25,31930629
steady_state_consensus_7n,QUIC,10ms,7,26,32016415
steady_state_consensus_7n,QUIC,10ms,7,27,32245811
steady_state_consensus_7n,QUIC,10ms,7,28,31962903
steady_state_consensus_7n,QUIC,10ms,7,29,32640027
steady_state_consensus_7n,QUIC,10ms,7,30,32410241
steady_state_consensus_7n,TCP,1pct_loss,7,1,32909316
steady_state_consensus_7n,TCP,1pct_loss,7,2,31870818
steady_state_consensus_7n,TCP,1pct_loss,7,3,32182455
steady_state_consensus_7n,TCP,1pct_loss,7,4,32836145
steady_state_consensus_7n,TCP,1pct_loss,7,5,39090684
steady_state_consensus_7n,TCP,1pct_loss,7,6,32054218
steady_state_consensus_7n,TCP,1pct_loss,7,7,32753935
steady_state_consensus_7n,TCP,1pct_loss,7,8,32498209
steady_state_consensus_7n,TCP,1pct_loss,7,9,31861137
steady_state_consensus_7n,TCP,1pct_loss,7,10,32230515
steady_state_consensus_7n,TCP,1pct_loss,7,11,31720513
steady_state_consensus_7n,TCP,1pct_loss,7,12,32493678
steady_state_consensus_7n,TCP,1pct_loss,7,13,35251911
steady_state_consensus_7n,TCP,1pct_loss,7,14,32230997
steady_state_consensus_7n,TCP,1pct_loss,7,15,31961059
steady_state_consensus_7n,TCP,1pct_loss,7,16,31630679
steady_state_consensus_7n,TCP,1pct_loss,7,17,32129605
steady_state_consensus_7n,TCP,1pct_loss,7,18,32248573
steady_state_consensus_7n,TCP,1pct_loss,7,19,32137112
steady_state_consensus_7n,TCP,1pct_loss,7,20,32520286
steady_state_consensus_7n,TCP,1pct_loss,7,21,31919023
steady_state_consensus_7n,TCP,1pct_loss,7,22,40668221
steady_state_consensus_7n,TCP,1pct_loss,7,23,40399367
steady_state_consensus_7n,TCP,1pct_loss,7,24,34264090
steady_state_consensus_7n,TCP,1pct_loss,7,25,33495350
steady_state_consensus_7n,TCP,1pct_loss,7,26,56750417
steady_state_consensus_7n,TCP,1pct_loss,7,27,32515321
steady_state_consensus_7n,TCP,1pct_loss,7,28,31651294
steady_state_consensus_7n,TCP,1pct_loss,7,29,31648788
steady_state_consensus_7n,TCP,1pct_loss,7,30,40101827
steady_state_consensus_7n,QUIC,1pct_loss,7,1,33121327
steady_state_consensus_7n,QUIC,1pct_loss,7,2,31843219
steady_state_consensus_7n,QUIC,1pct_loss,7,3,35379376
steady_state_consensus_7n,QUIC,1pct_loss,7,4,32031406
steady_state_consensus_7n,QUIC,1pct_loss,7,5,32073500
steady_state_consensus_7n,QUIC,1pct_loss,7,6,34861621
steady_state_consensus_7n,QUIC,1pct_loss,7,7,32379385
steady_state_consensus_7n,QUIC,1pct_loss,7,8,31998036
steady_state_consensus_7n,QUIC,1pct_loss,7,9,32031429
steady_state_consensus_7n,QUIC,1pct_loss,7,10,31944293
steady_state_consensus_7n,QUIC,1pct_loss,7,11,31802287
steady_state_consensus_7n,QUIC,1pct_loss,7,12,31879802
steady_state_consensus_7n,QUIC,1pct_loss,7,13,31891659
steady_state_consensus_7n,QUIC,1pct_loss,7,14,31884714
steady_state_consensus_7n,QUIC,1pct_loss,7,15,31639757
steady_state_consensus_7n,QUIC,1pct_loss,7,16,31927943
steady_state_consensus_7n,QUIC,1pct_loss,7,17,31978155
steady_state_consensus_7n,QUIC,1pct_loss,7,18,31664972
steady_state_consensus_7n,QUIC,1pct_loss,7,19,31925940
steady_state_consensus_7n,QUIC,1pct_loss,7,20,31990820
steady_state_consensus_7n,QUIC,1pct_loss,7,21,31888658
steady_state_consensus_7n,QUIC,1pct_loss,7,22,31886295
steady_state_consensus_7n,QUIC,1pct_loss,7,23,31591316
steady_state_consensus_7n,QUIC,1pct_loss,7,24,31697312
steady_state_consensus_7n,QUIC,1pct_loss,7,25,31611678
steady_state_consensus_7n,QUIC,1pct_loss,7,26,31684055
steady_state_consensus_7n,QUIC,1pct_loss,7,27,35764526
steady_state_consensus_7n,QUIC,1pct_loss,7,28,32144354
steady_state_consensus_7n,QUIC,1pct_loss,7,29,31735321
steady_state_consensus_7n,QUIC,1pct_loss,7,30,31808134
steady_state_consensus_7n,TCP,5pct_loss,7,1,34653391
steady_state_consensus_7n,TCP,5pct_loss,7,2,51715541
steady_state_consensus_7n,TCP,5pct_loss,7,3,61395053
steady_state_consensus_7n,TCP,5pct_loss,7,4,40261073
steady_state_consensus_7n,TCP,5pct_loss,7,5,41113537
steady_state_consensus_7n,TCP,5pct_loss,7,6,296640010
steady_state_consensus_7n,TCP,5pct_loss,7,7,31833139
steady_state_consensus_7n,TCP,5pct_loss,7,8,50625547
steady_state_consensus_7n,TCP,5pct_loss,7,9,51636414
steady_state_consensus_7n,TCP,5pct_loss,7,10,44517877
steady_state_consensus_7n,TCP,5pct_loss,7,11,40819566
steady_state_consensus_7n,TCP,5pct_loss,7,12,62223968
steady_state_consensus_7n,TCP,5pct_loss,7,13,60878543
steady_state_consensus_7n,TCP,5pct_loss,7,14,40855734
steady_state_consensus_7n,TCP,5pct_loss,7,15,61352990
steady_state_consensus_7n,TCP,5pct_loss,7,16,41448307
steady_state_consensus_7n,TCP,5pct_loss,7,17,119315999
steady_state_consensus_7n,TCP,5pct_loss,7,18,61537020
steady_state_consensus_7n,TCP,5pct_loss,7,19,274690384
steady_state_consensus_7n,TCP,5pct_loss,7,20,41322656
steady_state_consensus_7n,TCP,5pct_loss,7,21,52032638
steady_state_consensus_7n,TCP,5pct_loss,7,22,56297599
steady_state_consensus_7n,TCP,5pct_loss,7,23,52054689
steady_state_consensus_7n,TCP,5pct_loss,7,24,60863911
steady_state_consensus_7n,TCP,5pct_loss,7,25,50495130
steady_state_consensus_7n,TCP,5pct_loss,7,26,129185892
steady_state_consensus_7n,TCP,5pct_loss,7,27,71733612
steady_state_consensus_7n,TCP,5pct_loss,7,28,60527054
