benchmark,transport,scenario,sample,batch_size,batch_duration_ns,ops_per_sec
throughput,TCP,localhost,1,100,9790579,10213.90
throughput,TCP,localhost,2,100,18114512,5520.44
throughput,TCP,localhost,3,100,19111027,5232.58
throughput,TCP,localhost,4,100,17536391,5702.43
throughput,TCP,localhost,5,100,18839649,5307.95
throughput,TCP,localhost,6,100,15407568,6490.32
throughput,TCP,localhost,7,100,14491191,6900.74
throughput,TCP,localhost,8,100,10081370,9919.29
throughput,TCP,localhost,9,100,10980283,9107.23
throughput,TCP,localhost,10,100,10822487,9240.02
throughput,TCP,localhost,11,100,10711105,9336.10
throughput,TCP,localhost,12,100,11987612,8341.95
throughput,TCP,localhost,13,100,14115940,7084.19
throughput,TCP,localhost,14,100,9107115,10980.43
throughput,TCP,localhost,15,100,9075596,11018.56
throughput,TCP,localhost,16,100,9565241,10454.52
throughput,TCP,localhost,17,100,8510338,11750.41
throughput,TCP,localhost,18,100,10890985,9181.91
throughput,TCP,localhost,19,100,10930208,9148.96
throughput,TCP,localhost,20,100,9267876,10789.96
throughput,TCP,localhost,21,100,9732502,10274.85
throughput,TCP,localhost,22,100,12828842,7794.94
throughput,TCP,localhost,23,100,11258167,8882.44
throughput,TCP,localhost,24,100,9356178,10688.13
throughput,TCP,localhost,25,100,9515684,10508.97
throughput,TCP,localhost,26,100,9184034,10888.46
throughput,TCP,localhost,27,100,9734715,10272.51
throughput,TCP,localhost,28,100,9412547,10624.12
throughput,TCP,localhost,29,100,9530911,10492.18
throughput,TCP,localhost,30,100,9439383,10593.91
throughput,TCP,localhost,31,100,19291996,5183.50
throughput,TCP,localhost,32,100,15591006,6413.95
throughput,TCP,localhost,33,100,14532069,6881.33
throughput,TCP,localhost,34,100,13693404,7302.79
throughput,TCP,localhost,35,100,13679798,7310.05
throughput,TCP,localhost,36,100,13349140,7491.12
throughput,TCP,localhost,37,100,15219210,6570.64
throughput,TCP,localhost,38,100,18607980,5374.04
throughput,TCP,localhost,39,100,16840640,5938.02
throughput,TCP,localhost,40,100,14605653,6846.66
